date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2013-08-30,Åloppevägen 12,Norra Ångby,,Grön Hässelby,6,82,null,Villa,1934,[Bromma],4850000,950000,5800000,null,Bjurfors,508.0419300726402,Akeshov
2013-08-28,Frösövägen 15,Norra Ångby,,Grön Hässelby,7,127,null,Villa,1942,[Bromma],5875000,-150000,5725000,null,Bjurfors,955.2124032353119,Islandstorget
2013-08-14,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,1967,[Bromma Norra Ängby],1195000,230000,1425000,1762,HusmanHagberg,424.08088533962217,Racksta
2013-07-04,Bergslagsvägen 76,Norra Ångby,,Grön Hässelby,3,82,null,Lägenhet,2008,[Bromma],2895000,305000,3200000,4001,Notar,75.17355522876532,Akeshov
2013-06-17,Bergslagsvägen 78,Norra Ångby,,Grön Hässelby,3,82,null,Lägenhet,2008,[Bromma Norra Ängby],2975000,-75000,2900000,3971,Mäklarringen,137.95407801646613,Akeshov
2013-06-07,Frösövägen 6,Norra Ångby,,Grön Hässelby,7,140,null,Villa,1970,[Bromma],6200000,600000,6800000,null,Bjurfors,908.7384646392194,Islandstorget
2013-06-04,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,54,null,Lägenhet,1967,[Bromma Norra Ängby],1475000,0,1475000,3398,Mäklarringen,424.08088533962217,Racksta
2013-05-31,Islandsvägen 28,Norra Ångby,,Grön Hässelby,5,83,null,Villa,1937,[Bromma],3975000,425000,4400000,null,Bjurfors,266.6023930747562,Islandstorget
2013-05-31,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,54,4,Lägenhet,1967,[Bromma],1575000,0,1575000,3398,Länsförsäkringar Fastighetsförmedling,424.08088533962217,Racksta
2013-05-13,Hugleiksvägen 18,Norra Ångby,,Grön Hässelby,6,126,null,Villa,1952,[Bromma],4700000,-100000,4600000,null,Bjurfors,628.787361975905,Racksta
2013-05-03,Tingvallavägen 7,Norra Ångby,,Grön Hässelby,6,81,null,Villa,1937,[Norra Ängby],4500000,0,4500000,null,Svensk Fastighetsförmedling,761.4608413112984,Racksta
2013-04-30,Peringskiöldsvägen 43,Norra Ångby,,Grön Hässelby,7,142,null,Villa,1937,[Bromma],6995000,-395000,6600000,null,Fastighetsbyrån,885.2272485846507,Islandstorget
2013-04-27,Anundsvägen 38,Norra Ångby,,Grön Hässelby,6,110,null,Villa,1950,[Bromma],5795000,755000,6550000,null,Fastighetsbyrån,550.5925381032835,Racksta
2013-04-24,Stiklastadsvägen 3,Norra Ångby,,Grön Hässelby,6,128,null,Villa,1932,[Bromma-Norra Ängby],5450000,200000,5650000,null,HusmanHagberg,873.3147172586425,Islandstorget
2013-04-22,Runsavägen 20,Norra Ångby,,Grön Hässelby,5,99,null,Villa,1934,[Bromma],6200000,50000,6250000,null,Bjurfors,355.9710164428651,Akeshov
2013-04-20,Björketorpsvägen 17,Norra Ångby,,Grön Hässelby,4,96,null,Lägenhet,2009,[Bromma Norra Ängby],2900000,0,2900000,4987,Mäklarringen,492.26026843511295,Racksta
2013-04-19,Peringskiöldsvägen 49,Norra Ångby,,Grön Hässelby,7,161,null,Villa,1939,[Bromma],6650000,720000,7370000,null,Bjurfors,832.0726821942973,Islandstorget
2013-04-19,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,1967,[Bromma Norra Ängby],1150000,310000,1460000,1762,HusmanHagberg,424.08088533962217,Racksta
2013-03-20,Björketorpsvägen 17,Norra Ångby,,Grön Hässelby,2,43,null,Lägenhet,2009,[Bromma],1550000,0,1550000,2445,Fastighetsbyrån,492.26026843511295,Racksta
2013-03-15,Bergslagsvägen 74,Norra Ångby,,Grön Hässelby,3,82,null,Lägenhet,2008,[Bromma Åkeshov],2895000,155000,3050000,4001,Notar,81.14636431445258,Akeshov
2013-03-06,Beckombergavägen 124,Norra Ångby,,Grön Hässelby,5,91,null,Villa,1934,[Bromma],5600000,-100000,5500000,null,Bjurfors,642.7053965145142,Angbyplan
2013-03-02,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,null,Lägenhet,1967,[Bromma Norra Ängby],1095000,130000,1225000,1762,HusmanHagberg,424.08088533962217,Racksta
2013-02-24,Vendelstigen 16,Norra Ångby,,Grön Hässelby,null,46,null,Villa,1937,[Bromma],4250000,500000,4750000,null,Fastighetsbyrån,829.4987168339268,Islandstorget
2013-02-23,Bergslagsvägen 74,Norra Ångby,,Grön Hässelby,4,90.5,null,Lägenhet,null,[Bromma Norra Ängby Åkeshov],3300000,770000,4070000,4449,Mäklarringen,81.14636431445258,Akeshov
2013-02-02,Adilsvägen 20,Norra Ångby,,Grön Hässelby,6,117,null,Villa,1937,[Bromma],5200000,150000,5350000,null,Mäklarhuset,602.3689865763168,Islandstorget
2013-01-29,Ramsundsvägen 1,Norra Ångby,,Grön Hässelby,7,96,null,Villa,1935,[Bromma],4195000,-495000,3700000,null,Fastighetsbyrån,937.8055562788724,Islandstorget
2013-01-19,Björketorpsvägen 17,Norra Ångby,,Grön Hässelby,2,43,1,Lägenhet,2009,[Bromma],1495000,5000,1500000,2445,Mäklarhuset,492.26026843511295,Racksta
2012-12-20,Björketorpsvägen 17,Norra Ångby,,Grön Hässelby,4,96,null,Lägenhet,2009,[Bromma],2995000,100000,3095000,4794,Fastighetsbyrån,492.26026843511295,Racksta
2012-12-14,Möjbrovägen 18,Norra Ångby,,Grön Hässelby,5,127,null,Lägenhet,1988,[Norra Ängby],4000000,0,4000000,7282,Svensk Fastighetsförmedling,470.468839416388,Akeshov
2012-11-01,Björketorpsvägen 9,Norra Ångby,,Grön Hässelby,3,76,5,Lägenhet,2009,[Norra Ängby],2495000,-95000,2400000,3872,Svensk Fastighetsförmedling,432.4527223685671,Racksta
2012-10-31,Stambogränd 9,Norra Ångby,,Grön Hässelby,5,89,null,Villa,1951,[Norra Ängby],2900000,120000,3020000,null,Exbo,545.6273494005023,Blackeberg
2012-10-17,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,54,null,Lägenhet,1967,[Bromma],1495000,105000,1600000,3398,Fastighetsbyrån,458.9843663866506,Racksta
2012-10-07,Bergslagsvägen 74,Norra Ångby,,Grön Hässelby,5,168,null,Lägenhet,2008,[Bromma Åkeshov],5400000,650000,6050000,6105,Notar,81.14636431445258,Akeshov
2012-10-05,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,48,null,Lägenhet,1963,[Bromma],1250000,110000,1360000,3021,Länsförsäkringar Fastighetsförmedling,458.9843663866506,Racksta
2012-09-15,Björketorpsvägen 9,Norra Ångby,,Grön Hässelby,3.5,77,null,Lägenhet,2009,[Bromma],2495000,0,2495000,3918,Fastighetsbyrån,432.4527223685671,Racksta
2012-09-13,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,48,null,Lägenhet,1967,[Bromma Norra Ängby],1295000,205000,1500000,3021,Fastighetsbyrån,458.9843663866506,Racksta
